MAXIMUMHEIGHT,MINIMUMHEIGHT,LENGTH,AREASQM,SURCHARGE,FRICTIONANGLE,UNITWEIGHT,VERTSPACING,USDPERSQM
10,3,307.7,2000,24,40,20,0.6,7.32
10,8,222.23,2000,24,40,20,0.75,8.9
9,3,333.34,2000,22,35,19,0.6,6.82
8,3,363.64,2000,21,33,18,0.6,5.94
7.5,3,380.96,2000,24,40,20,0.6,5.72
7,3,400,2000,20,31,16,0.6,5.35
6.5,3,421.06,2000,24,40,20,0.6,4.84
6,3,444.45,2000,19,30,15,0.6,4.35
5.5,3,470.59,2000,24,40,20,0.6,3.89
9,4,615.39,4000,22,35,19,0.6,8.11
8,5,615.39,4000,21,33,18,0.6,6.52
7,4,727.28,4000,20,31,16,0.6,5.8
6,4,800,4000,19,30,15,0.6,4.77
15,13,354.61,5000,21,33,18,0.3,21.84
10,7,705.89,6000,24,40,20,0.6,9.15
9,6,800,6000,22,35,19,0.6,9.07
8,7,800,6000,21,33,18,0.6,8.42
7,5,1000,6000,20,31,16,0.6,5.91
6.5,4,1142.86,6000,22,35,19,0.6,5.28
6,5,1090.91,6000,19,30,15,0.6,4.88
5.5,4,1263.16,6000,24,40,20,0.6,4.26
5,3,1500,6000,18,28,14,0.6,3.85
10,9,842.11,8000,24,40,20,0.6,10.42
9.5,8,914.29,8000,24,40,20,0.6,9.8
9,8,941.18,8000,22,35,19,0.6,10.16
8,8,1000,8000,21,33,18,0.6,8.71
7.5,7.5,1066.67,8000,21,33,18,0.6,8.51
7,6,1230.77,8000,20,31,16,0.6,6.7
6,6,1333.34,8000,19,30,15,0.6,5.75
5,5,1600,8000,18,28,14,0.6,4.48
10,10,100,1000,20,40,24,0.6,11.77
10,8,111.12,1000,19,35,22,0.6,10.49
10,7,117.6,1000,18,33,21,0.6,10.43
10,5,133.34,1000,16,31,20,0.6,8.74
10,4,142.86,1000,15,30,19,0.6,8.51
10,3,153.85,1000,14,28,18,0.6,8.21
9,9,100,1000,20,40,24,0.6,9.26
9,8,117.65,1000,19,35,22,0.6,9
9,7,125,1000,18,33,21,0.6,8.92
9,5,142.86,1000,16,31,20,0.6,7.52
9,4,153.85,1000,15,30,19,0.6,7.24
9,3,166.66,1000,14,28,18,0.6,6.05
10,10,100,1000,20,40,24,0.6,11.78
9,8,117.65,1000,19,34,23,0.6,9.48
8,7,133.34,1000,18,33,22,0.6,8.37
7,6,153.85,1000,17,32,21,0.6,6.75
6,5,181.82,1000,16,31,20,0.6,4.88
5,4,222.23,1000,15,30,19,0.6,4.37
4,3,285.72,1000,14,29,18,0.6,3.51
16,3.4,750,7275,24,35,20,0.9,12.66
16,4,680,6800,22,33,19,0.75,14.29
16,4.6,600,6180,20,31,18,0.6,15.12
14,1.4,450,3465,24,35,20,0.9,9.1
14,2.6,600,4980,20,31,18,0.6,11.27
14,5,525,4987.5,18,29,17,0.45,14.45
12,3.9,300,2385,24,35,20,0.9,7.7
12,3,520,3900,22,33,19,0.75,9.54
12,4.2,700,5670,20,31,18,0.6,9.74
12,3,525,3937.5,18,29,17,0.45,11.46
10,1.9,300,1785,24,35,20,0.9,5.81
10,1.75,480,2820,22,33,19,0.75,6.82
10,2.2,700,4270,20,31,18,0.6,7.55
10,1.45,500,2862.5,18,29,17,0.45,8.43
8,0.8,270,1188,24,35,20,0.9,4.5
8,1.4,600,2820,20,31,18,0.6,6.28
8,0.8,425,1870,18,29,17,0.45,6.86
6,0.6,210,693,24,35,20,0.9,4.01
6,0.6,500,1650,20,31,18,0.6,4.11
6,1.05,300,1057.5,18,29,17,0.45,5.03
